,_p,_v,_t
618,70.21,2.44291,1589249630975
619,70.21,7.3287,1589249630986
620,70.2,0.5,1589249633400
621,70.21,3e-05,1589249634151
622,70.22,2.4741,1589249647836
623,70.22,1.825,1589249647846
624,70.22,1.2009,1589249647855
625,70.26,0.16947,1589249660380
626,70.28,0.15652,1589249674336
627,70.31,0.72276,1589249678988
628,70.28,0.2046,1589249733988
629,70.28,0.5,1589249735644
630,70.28,4.7954,1589249736804
631,70.32,0.19269,1589249777516
632,70.35,0.60909,1589249783108
633,70.36,1.825,1589249783193
634,70.36,2.48216,1589249783218
635,70.36,0.06084,1589249783224
636,70.41,5.54922,1589249783460
637,70.41,4.09616,1589249783524
638,70.42,1.825,1589249783612
639,70.42,1.825,1589249783616
640,70.43,1.03907,1589249805757
641,70.45,1.21322,1589249805757
642,70.46,0.13983,1589249805757
643,70.46,0.64184,1589249809181
644,70.47,1.82856,1589249809181
645,70.43,0.2,1589249879614
646,70.42,0.35496,1589249890755
647,70.39,0.14504,1589249890755
648,70.41,1.825,1589249898558
649,70.41,1.825,1589249898559
650,70.41,1.825,1589249898560
651,70.41,3.6451,1589249898570
652,70.41,3.45376,1589249898574
653,70.4,1.1132,1589249898591
654,70.4,0.707,1589249898596
655,70.39,0.21007,1589249899632
656,70.39,0.184,1589249913145
657,70.33,6.8335,1589249945246
658,70.32,3.29863,1589249945246
659,70.32,0.504,1589249973521
660,70.32,0.227,1589249973632
661,70.28,0.5,1589249988891
662,70.32,1.22774,1589250041416
663,70.21,0.5,1589250044478
664,70.19,0.5,1589250046486
665,70.22,12.56909,1589250117936
666,70.22,12.2499,1589250117944
667,70.22,10.0,1589250118722
668,70.22,5.32101,1589250118728
669,70.17,0.5,1589250236900
670,70.13,0.35981,1589250237458
671,70.13,0.5,1589250237545
672,70.14,0.14796,1589250248165
673,70.15,0.30881,1589250293638
674,70.14,0.5,1589250322264
675,70.16,1.00715,1589250336738
676,70.17,1.825,1589250336754
677,70.17,5.475,1589250336758
678,70.17,6.2929,1589250336781
679,70.19,0.14383,1589250356490
680,70.19,1.65036,1589250375151
681,70.2,4.44626,1589250383945
682,70.23,2.4981,1589250471639
